Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage
3,15,1,0,,2,8,0,33.3,,2,8,0,0,,2,8,0,0
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,15,1,0,,2,8,0,33.3,,2,8,0,20,,2,8,0,0
3,15,1,0,,2,8,0,20,,2,8,0,0,,2,8,0,14.3
3,16,0,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,16,0,0,,2,9,0,20,,2,9,0,16.7,,2,9,0,12.5
3,16,0,0,,2,9,0,20,,2,9,0,16.7,,2,9,0,0
3,16,0,0,,2,9,0,50,,2,9,0,25,,2,9,0,0
3,16,0,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,16,0,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,16,0,0,,2,9,0,25,,2,9,0,0,,2,9,0,0
3,16,0,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,16,0,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,0,,2,9,0,14.3,,2,9,0,11.1
3,17,1,0,,2,9,0,33.3,,2,9,0,16.7,,2,9,0,12.5
3,17,1,0,,2,9,0,0,,2,9,0,0,,2,9,0,0
3,17,1,0,,2,9,0,25,,2,9,0,0,,2,9,0,0
3,18,1,0,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,18,1,0,,3,10,1,42.9,,3,10,1,50,,3,10,1,30
3,18,1,0,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,18,1,0,,3,10,1,0,,3,10,1,33.3,,3,10,1,20
3,18,1,0,,3,10,1,28.6,,3,10,1,25,,3,10,1,41.7
3,18,1,0,,3,10,1,0,,3,10,1,14.3,,3,10,1,12.5
3,18,1,0,,3,10,1,16.7,,3,10,1,14.3,,3,10,1,11.1
3,18,1,0,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,18,1,0,,3,10,1,0,,3,10,1,16.7,,3,10,1,37.5
3,19,0,0,,3,10,1,25,,3,10,1,16.7,,3,10,1,5.9
3,19,0,0,,3,10,1,0,,3,10,1,0,,3,10,1,14.3
3,19,0,20,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,19,0,0,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,19,0,0,,3,10,1,28.6,,3,10,1,25,,3,10,1,18.2
3,19,0,0,,3,10,1,16.7,,3,10,1,12.5,,3,10,1,12.5
3,19,0,0,,3,10,1,28.6,,3,10,1,28.6,,3,10,1,12.5
3,19,0,0,,3,10,1,0,,3,10,1,0,,3,10,1,0
3,19,0,0,,3,11,0,50,,3,11,0,40,,3,11,0,12.5
2,20,1,0,,3,11,0,0,,3,11,0,0,,3,11,0,0
2,20,1,0,,3,11,0,0,,3,11,0,0,,3,11,0,5.3
2,20,1,0,,3,11,0,0,,3,11,0,0,,3,11,0,0
2,20,1,0,,3,11,0,25,,3,11,0,42.9,,3,11,0,37.5
2,20,1,0,,3,11,0,20,,3,11,0,0,,3,11,0,0
2,20,1,0,,3,11,0,40,,3,11,0,33.3,,3,11,0,21.4
2,20,1,0,,3,11,0,20,,3,11,0,16.7,,3,11,0,11.1
2,20,1,0,,3,11,0,0,,3,11,0,0,,3,11,0,0
2,20,1,0,,3,11,0,0,,3,11,0,11.1,,3,11,0,33.3
,,,,,3,11,0,0,,3,11,0,11.1,,3,11,0,18.2
,,,,,3,11,0,25,,3,11,0,37.5,,3,11,0,30.8
,,,,,3,11,0,0,,3,11,0,0,,3,11,0,0
,,,,,3,11,0,28.6,,3,11,0,22.2,,3,11,0,18.2
,,,,,3,11,0,57.1,,3,11,0,62.5,,3,11,0,44.4
,,,,,3,11,0,0,,3,11,0,0,,3,11,0,0
,,,,,3,11,0,0,,3,11,0,0,,3,11,0,0
,,,,,3,12,0,16.7,,3,12,0,14.3,,3,12,0,12.5
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,5.3
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,33.3,,3,12,0,28.6,,3,12,0,16.7
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,20,,3,12,0,16.7,,3,12,0,12.5
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,42.9,,3,12,0,25,,3,12,0,11.1
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,12,0,0,,3,12,0,0,,3,12,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,16.7,,3,13,0,14.3,,3,13,0,10
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,20,,3,13,0,14.3,,3,13,0,12.5
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,0
,,,,,3,13,0,0,,3,13,0,0,,3,13,0,20
,,,,,3,13,0,0,,3,13,0,25,,3,13,0,25
,,,,,3,14,1,14.3,,3,14,1,11.1,,3,14,1,9.1
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,16.7,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,16.7,,3,14,1,0,,3,14,1,16.7
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,14,1,0,,3,14,1,0,,3,14,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,25,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,15,1,0,,3,15,1,0,,3,15,1,0
,,,,,3,16,0,28.6,,3,16,0,33.3,,3,16,0,25
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,11.1
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,16,0,0,,3,16,0,0,,3,16,0,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,20,,3,17,1,20,,3,17,1,14.3
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,14.3,,3,17,1,22.2
,,,,,3,17,1,0,,3,17,1,14.3,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,11.1,,3,17,1,30
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,14.3,,3,17,1,12.5,,3,17,1,12.5
,,,,,3,17,1,12.5,,3,17,1,23.1,,3,17,1,6.7
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,25,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,17,1,0,,3,17,1,0,,3,17,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,33.3,,3,18,1,7.7,,3,18,1,22.2
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,18,1,0,,3,18,1,0,,3,18,1,0
,,,,,3,19,0,33.3,,3,19,0,16.7,,3,19,0,9.1
,,,,,3,19,0,100,,3,19,0,50,,3,19,0,50
,,,,,3,19,0,33.3,,3,19,0,33.3,,3,19,0,28.6
,,,,,3,19,0,16.7,,3,19,0,18.2,,3,19,0,17.6
,,,,,3,19,0,33.3,,3,19,0,30,,3,19,0,14.3
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,16.7,,3,19,0,12.5
,,,,,3,19,0,50,,3,19,0,25,,3,19,0,0
,,,,,3,19,0,33.3,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,20,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,20,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,3,19,0,0,,3,19,0,0,,3,19,0,0
,,,,,2,20,1,20,,2,20,1,16.7,,2,20,1,14.3
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,20,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,14.3
,,,,,2,20,1,0,,2,20,1,37.5,,2,20,1,50
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,0
,,,,,2,20,1,0,,2,20,1,0,,2,20,1,25
,,,,,2,20,1,0,,2,20,1,28.6,,2,20,1,37.5
